,authors,by_statement,contributions,contributors,copyright_date,coverimage,covers,create,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_places,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL450646A'}],story created by Liz Farrington ; written by Jennifer C. Weil ; illustrated by Jaclyne Scardova.,"['Weil, Jennifer C.', 'Scardova, Jaclyne, ill.']",,,,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Mrs. Murgatroyd's magical paints send Peter on a journey across the country to his grandfather's funeral and help him cope with his feelings of grief and loss.,['[Fic]'],2nd ed.,,,,,,,,['5922287'],,['1671028'],['1568441002'],,,/books/OL800156M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:36:12.791961,6,['PZ7.F24618 An 1995'],['95036443'],,,,,,,,,['32923111'],,p. cm.,,,cau,1995,"['Woodside, CA']",['Enchanté Pub.'],6,,"['marc:marc_records_scriblio_net/part25.dat:17712252:930', 'marc:marc_loc_updates/v37.i38.records.utf8:7265604:931']",,,,"['Death -- Fiction', 'Grandfathers -- Fiction']",,,And Peter said goodbye,,/type/edition,,,,,,,[{'key': '/works/OL2952637W'}]
0,[{'key': '/authors/OL451233A'}],Allene Cooper.,,,,,[14538],,/type/datetime,2008-04-01T03:28:50.625462,,,,['808/.0427'],,,,,,,,,['1458000'],,['2236507'],['0023247029'],,,/books/OL800219M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:36:12.791961,6,['PE1408 .C5478 1996'],['95036508'],,,,/type/text,Includes bibliographical references and index.,530.0,,,['32923391'],,"xiii, 530 p. ;",,,mau,1996,['Boston'],['Allyn and Bacon'],6,,,,,,"['English language -- Rhetoric.', 'Interdisciplinary approach in education.', 'Academic writing.', 'College readers.']",a cross-disciplinary rhetoric and reader,,Thinking and writing by design,,/type/edition,,,,,,,[{'key': '/works/OL2955802W'}]
0,[{'key': '/authors/OL3116177A'}],Al Lacy.,,,,,[677309],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,,['956529'],,['7675061'],['0880708352'],,,/books/OL801029M,[{'key': '/languages/eng'}],/type/datetime,2013-07-30T22:13:32.061307,6,['PS3562.A256 F35 1995'],['95037377'],,,,,,307.0,,,,,307 p. ;,,,oru,1995,"['Sisters, Or']",['Multnomah Books'],6,"['Angel of mercy series ;', 'bk. 2']",,['San Francisco (Calif.)'],,,"['Nurses -- Fiction.', 'Frontier and pioneer life -- Fiction.', 'San Francisco (Calif.) -- Fiction.']",,,Faithful heart,,/type/edition,,,,,,,[{'key': '/works/OL14911914W'}]
0,[{'key': '/authors/OL27349A'}],F. Scott Fitzgerald ; with an introduction by Arnold Gingrich.,,,,,[425081],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.52'],1st Scribner Paperback Fiction ed.,,,,,,,,['37390'],,['128298'],['0684804425'],,,/books/OL801223M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T21:48:48.011053,6,['PS3511.I9 P3 1995'],['95037580'],,,,,,159.0,,,,,"xxiii, 159 p. ;",,,nyu,1995,['New York'],['Scribner Paperback Fiction'],6,,,,,,"['Hobby, Pat (Fictitious character) -- Fiction.']",,,Pat Hobby stories,The ,/type/edition,"['Contributor biographical information', 'Publisher description']","['http://www.loc.gov/catdir/bios/simon051/95037580.html', 'http://www.loc.gov/catdir/description/simon033/95037580.html']","['http://www.loc.gov/catdir/bios/simon051/95037580.html', 'http://www.loc.gov/catdir/description/simon033/95037580.html']",,,,[{'key': '/works/OL468564W'}]
0,[{'key': '/authors/OL452511A'}],Alvina E. Quintana.,,,,,"[1903325, 1903324]",,/type/datetime,2008-04-01T03:28:50.625462,,,,['810.9/9287/896872'],,,,,,,,,['1260635'],,['3211594'],"['1566393728', '1566393736']",['9781439903636'],,/books/OL803283M,[{'key': '/languages/eng'}],/type/datetime,2015-10-14T16:22:53.914041,6,['PS153.M4 Q56 1996'],['95039751'],,,Includes bibliographical references (p. 143-159) and index.,,,165.0,,,,,"xii, 165 p. ;",,,pau,1996,['Philadelphia'],['Temple University Press'],6,,,['United States'],,['20th century.'],"['American literature -- Mexican American authors -- History and criticism.', 'Women and literature -- United States -- History -- 20th century.', 'American literature -- Women authors -- History and criticism.', 'Mexican American women -- Intellectual life.', 'Mexican American women in literature.', 'Mexican Americans in literature.']",Chicana literary voices,,Home girls,,/type/edition,,,,,,,[{'key': '/works/OL2962181W'}]
0,[{'key': '/authors/OL454367A'}],Ann M. Algeo.,,,,,[3818298],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.509355'],,,,,,,,,['789324'],,,['0820427330'],,,/books/OL807588M,[{'key': '/languages/eng'}],/type/datetime,2010-04-14T03:22:20.530540,4,['PS374.L34 A44 1996'],['95044270'],,,,/type/text,Includes bibliographical references (p. [151]-160) and index.,164.0,,,,,164 p. ;,,,nyu,1996,['New York'],['P. Lang'],4,"['Modern American literature ;', 'v. 1', 'Modern American literature (New York, N.Y.) ;', 'v. 1.']",,,,"['20th century', '20th century.']","['Dreiser, Theodore, 1871-1945.', 'Wright, Richard, 1908-1960.', 'Capote, Truman, 1924-', 'Mailer, Norman.', 'American fiction -- 20th century -- History and criticism.', 'Legal stories, American -- History and criticism.', 'Law and literature -- History -- 20th century.', 'Trials (Murder) in literature.', 'Executions and executioners in literature.', 'Capital punishment in literature.', 'Murder in literature.']","homicide trials by Dreiser, Wright, Capote, and Mailer",,courtroom as forum,The ,/type/edition,,,,,,,[{'key': '/works/OL2971811W'}]
0,,edited and with an introduction by Harold Bloom.,"['Bloom, Harold.']",,,,"[4739311, 3818274, 3817968]",,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Includes a brief biography of the author, thematic and structural analysis of the works, critical views, and an index of themes and ideas.",['813/.3'],,,,,,,,,"['1330584', '493783']",,['110674'],"['0791040542', '0791040836']",,,/books/OL808372M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T21:56:16.178454,6,['PS2387 .H44 1996'],['95045113'],,,,/type/text,"Includes bibliographical references (p. 71-77) and index.
""A contemporary literary views book.""",80.0,,,,"[""Herman Melville's Billy Budd, Benito Cereno, and Bartleby the scrivener"", 'Billy Budd, Benito Cereno, & Bartleby the scrivener']",80 p. ;,,,nyu,1996,['New York'],['Chelsea House Publishers'],6,"[""Bloom's notes""]",,,,,"['Melville, Herman, 1819-1891 -- Criticism and interpretation.', 'Melville, Herman, 1819-1891.', 'Melville, Herman, 1819-1891.', 'Melville, Herman, 1819-1891.', 'Melville, Herman, 1819-1891.', 'Melville, Herman, 1819-1891.', 'Melville, Herman, 1819-1891.', 'American literature -- History and criticism.']",,,"Herman Melville's Billy Budd, Benito Cereno, & Bartleby the scrivener",,/type/edition,,,,,,,
0,[{'key': '/authors/OL261181A'}],Paula Vogel.,,,,,[786458],,/type/datetime,2008-04-01T03:28:50.625462,,,,['812/.54'],,,,,,,['IA172601'],['baltimorewaltzo00voge'],['141664'],,['9677443'],['1559361093'],,,/books/OL809205M,[{'key': '/languages/eng'}],/type/datetime,2012-04-10T16:51:20.202067,11,['PS3572.O294 A6 1996'],['95045986'],,,,,,296.0,baltimorewaltzo00voge,,,,"xv, 296 p. ;",,,nyu,1996,['New York'],['Theatre Communications Group'],11,,"['marc:marc_records_scriblio_net/part25.dat:25903566:650', 'marc:marc_ithaca_college/ic_marc.mrc:152132929:957', 'marc:marc_loc_updates/v38.i07.records.utf8:1584201:766', 'ia:baltimorewaltzo00voge']",,,,,,"[{'title': 'The Baltimore waltz', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'And baby makes seven', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'The oldest profession', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Desdemona: a play about a handkerchief', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': ""Hot 'n' throbbing."", 'level': 0, 'type': {'key': '/type/toc_item'}}]",The Baltimore waltz and other plays,,/type/edition,,,,,,,[{'key': '/works/OL2108604W'}]
0,[{'key': '/authors/OL200219A'}],Dick Bruna.,,,,,[811257],,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Mr. and Mrs. Rabbit's wish to have a baby is granted by an angel.,['[E]'],,,,,,,,,['3629964'],,['135390'],['1568361513'],,,/books/OL811572M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:00:56.178501,5,['PZ7.B828416 Mh 1995'],['95048495'],,,,,,,,,,,1 v. (unpaged) :,,,nyu,1995,['New York'],['Kodansha International'],5,,,,,,"['Babies -- Fiction.', 'Rabbits -- Fiction.']",,,Miffy,,/type/edition,,,,,,,[{'key': '/works/OL1736353W'}]
0,[{'key': '/authors/OL456081A'}],John Lowry Lamb.,,,,,[406218],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,,['3052834'],,['1307341'],['0671536168'],,,/books/OL811738M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:00:56.178501,5,['PS3562.A4233 E5 1995'],['95048926'],,,,,,172.0,,,,,172 p. ;,,,nyu,1995,['New York'],['Washington Square Press'],5,,,['Ohio'],,,"['Death -- Psychological aspects -- Fiction.', 'Country life -- Fiction.', 'Fathers -- Death -- Fiction.', 'Ohio -- Fiction.']",a novel,,end of summer,The ,/type/edition,,,,,,,[{'key': '/works/OL2980090W'}]
0,[{'key': '/authors/OL458716A'}],Marie Donais Calder ; illustrated by Geoffrey Brittingham.,"['Brittingham, Geoffrey, ill.']",,,,[3821990],,/type/datetime,2008-04-01T03:28:50.625462,,,,['[E]'],,,,,,,,,['3728851'],,,['1555237827'],,,/books/OL817545M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:36:12.791961,5,['PZ7.C1256 Hu 1998'],['95062384'],,,,,,26.0,,,['37688107'],,26 p. :,,,tnu,1998,"['Nashville, Tenn']",['Scythe Publications'],5,,,,,,['Characters in literature -- Fiction.'],,,Humpty Dumpty is a friend of mine,,/type/edition,,,,,,,[{'key': '/works/OL2993521W'}]
0,[{'key': '/authors/OL460243A'}],[written by Jean Hwang].,,,,,[1591268],,/type/datetime,2008-04-01T03:28:50.625462,,,,['[E]'],1st ed.,,,,,,,,['2189899'],,['587163'],['0843179945'],,,/books/OL820965M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:10:28.106952,5,['PZ8.2.H85 Ey 1995'],['95073220'],,,,/type/text,On board pages.,10.0,,,['35870163'],,[10] p. :,,,cau,1995,"['Los Angeles, CA']",['Price Stren Sloan'],5,"['Lift-the-flap', 'Lift-the-flap book (Price Stern Sloan)']",,,,,"['Toy and movable books -- Specimens.', 'Animals -- Fiction.', 'Stories in rhyme.', 'Toy and movable books.']",,,Eye spy a panda!,,/type/edition,,,,,,,[{'key': '/works/OL3000709W'}]
0,[{'key': '/authors/OL460302A'}],by Liz Fox.,,,,,[544957],,/type/datetime,2008-04-01T03:28:50.625462,,,,['[Fic]'],1st Disney Press pbk. ed.,,,,,,,,['150420'],,['2305961'],['0786840641'],,,/books/OL821108M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:10:28.106952,5,['PZ7.F8344 To 1995'],['95074736'],,,,/type/text,"""Based on the motion picture from Walt Disney Pictures ; based on the novel The adventures of Tom Sawyer by Mark Twain.""",106.0,,,,"['Walt Disney Pictures presents Tom and Huck', 'Tom and Huck (Motion picture)']",106 p. :,,,nyu,1995,['New York'],['Disney Press'],5,,,"['Mississippi River', 'Missouri']",,,"['Mississippi River -- Fiction.', 'Missouri -- Fiction.']",a novel,,Tom and Huck,,/type/edition,,,,,,,[{'key': '/works/OL3000998W'}]
0,[{'key': '/authors/OL326433A'}],Clark Blaise and Bharati Mukherjee.,"['Mukherjee, Bharati.']",,,,[934200],,/type/datetime,2008-04-01T03:28:50.625462,,,,"['818/.540308', 'B']",1st U.S. paperback ed.,,,,,['Biography.'],,,['67105'],,['91592'],['1886913013'],,,/books/OL823836M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:13:41.865067,5,['PR9199.3.B48 Z464 1995'],['95079537'],,,,/type/text,"First published: Garden City, N.Y. : Doubleday, 1977.",303.0,,,['34018437'],,"xiii, 303 p. ;",,,mnu,1995,"['Saint Paul, Minn']",['Hungry Mind Press'],5,,,['India'],,['20th century'],"['Blaise, Clark -- Travel -- India.', 'Mukherjee, Bharati.', 'Novelists, Canadian -- 20th century -- Biography.', 'India -- Description and travel.']",,,Days and nights in Calcutta,,/type/edition,,,,,,,[{'key': '/works/OL2388573W'}]
0,[{'key': '/authors/OL35641A'}],by Laurie Rozakis.,,,,,[15977],,/type/datetime,2008-04-01T03:28:50.625462,,,,['808.5/1'],,,,,,,,,['1794390'],,['7533453'],['0028610385'],,,/books/OL824334M,[{'key': '/languages/eng'}],/type/datetime,2014-04-06T03:54:52.515714,6,['PN4121 .R73 1995'],['95080509'],,,,/type/text,Includes index.,280.0,completeidiotsgu00roza_666,,,,"xxiii, 280 p. :",,,nyu,1995,"['New York, NY']",['Alpha Books'],6,,,,,,['Public speaking.'],,,The complete idiot's guide to speaking in public with confidence,,/type/edition,,,,,,,[{'key': '/works/OL15003178W'}]
0,[{'key': '/authors/OL463248A'}],Farid Mattar ; translated from the Spanish by John Emerson and Eddie Villalobos.,"['Emerson, John.', 'Villalobos, Eddie.']",,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['863'],1st English ed.,,,,,,,,['4557068'],,,['0533116295'],,,/books/OL826857M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:36:12.791961,4,['PQ8550.23.A847 C6513 1996'],['95094760'],,,,,,214.0,,,['39001164'],,"ix, 214 p. :",,,nyu,1996,['New York'],['Vantage Press'],4,,,['Lebanon'],,,['Lebanon -- Fiction.'],,,Columns of stars,,/type/edition,,,,,['Columnas de estrellas.'],,[{'key': '/works/OL3012423W'}]
0,[{'key': '/authors/OL439943A'}],Elspeth Cameron.,,,,,"[4647689, 3824908]",,/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.52'],,,,,,,,,['1508783'],,['1690635'],['0670828742'],,,/books/OL830906M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:17:10.552675,6,['PR9199.3.B44 Z6 1994'],['95104925'],,,,/type/text,Includes bibliographical references (p. [571]-672) and index),685.0,,,['30973934'],,"xvii, 685 p., [26] p. of plates :",,,onc,1994,"['Toronto, Ontario']",['Viking'],6,,"['marc:marc_records_scriblio_net/part25.dat:44977059:822', 'marc:marc_loc_updates/v36.i41.records.utf8:1517750:816']",,,['20th century'],"['Birney, Earle, 1904-', 'Poets, Canadian -- 20th century -- Biography']",a life,,Earle Birney,,/type/edition,,,,,,,[{'key': '/works/OL2894795W'}]
0,[{'key': '/authors/OL44197A'}],"Pierre Pelot ; collaboration scientifique, Yves Coppens.","['Coppens, Yves.']",,,,[2144513],,/type/datetime,2008-04-01T03:28:50.625462,,,,['843/.914'],,,,,,,,,['3694985'],,['3041937'],['2207245497'],,,/books/OL83767M,[{'key': '/languages/fre'}],/type/datetime,2010-08-19T22:59:09.574680,5,['PQ2676.E47 D36 1999'],['99189967'],,,,,,349.0,,,,,349 p. ;,,,fr ,1999,['Paris'],['Denoël'],5,,['marc:marc_records_scriblio_net/part28.dat:48073073:644'],,,,,sous le vent du monde : roman,,Debout dans le ventre blanc du silence,,/type/edition,,,,,,,[{'key': '/works/OL136218W'}]
0,[{'key': '/authors/OL410872A'}],John Kelly.,,,,,"[4827940, 3826224]",,/type/datetime,2008-04-01T03:28:50.625462,,,,['823/.914'],,,,,,,,,['319537'],,['3896275'],['1860230032'],,,/books/OL839400M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:18:51.790321,5,['PR6061.E4935 G73 1994'],['95115840'],,,,/type/text,"A Martello original.
A novel.",156.0,,,['31976640'],,156 p. ;,,,ie ,1994,['Dublin'],['Martello'],5,,,,,,,,,Grace notes and bad thoughts,,/type/edition,,,,,,,[{'key': '/works/OL2782471W'}]
0,[{'key': '/authors/OL333500A'}],Sharlow.,,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['813'],,,,,,,,,['4157592'],,,['9768136162'],,,/books/OL841281M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:37:47.730970,4,['PR9272.9.S49 P7 1995'],['95118316'],,,,,,221.0,,,['32508957'],"['Promise', ""After all we've done for you""]",221 p. ;,,,tr ,1995,"['Longdenville, Trinidad, West Indies']",['S. Mohammed'],4,,,,,,,,,"The promise, or, After all we've done for you",,/type/edition,,,,,,,[{'key': '/works/OL2420720W'}]
0,[{'key': '/authors/OL303929A'}],Bruno Masure.,,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['843/.914'],,,,,,,,,['4913006'],,['8216201'],['2259027458'],,,/books/OL843153M,[{'key': '/languages/fre'}],/type/datetime,2010-07-30T22:19:45.472570,4,['PQ2673.A78165 L48 1993'],['95120867'],,,,,,262.0,,,,,262 p. ;,,,fr ,1993,['Paris'],['Plon'],4,,,,,,,roman de fiction sinon de science,,Leurre de vérité,,/type/edition,,,,,,,[{'key': '/works/OL2302648W'}]
0,[{'key': '/authors/OL471446A'}],"Alain Grousset ; illustrations, Manchu.",,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['843/.914'],,,,,,,,,['3400264'],,,['2010204069'],,,/books/OL843221M,[{'key': '/languages/fre'}],/type/datetime,2010-04-14T06:41:40.470783,3,['PQ2667.R66 C43 1993'],['95120961'],,,,,,188.0,,,,,188 p. :,,,fr ,1993,['Paris'],['Hachette jeunesse'],3,"['Le Livre de poche.', '463']",,,,,"['Young adult fiction, French.', 'Science fiction, French.']",,,Chasse-Marée,Les ,/type/edition,,,,,,,[{'key': '/works/OL3045379W'}]
0,[{'key': '/authors/OL60067A'}],Carlo Gébler.,,,,,[3827077],,/type/datetime,2008-04-01T03:28:50.625462,,,,['823/.914'],,,,,,,,,['3562680'],,['1560947'],['0241132061'],,,/books/OL845168M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T22:20:40.029709,5,['PR6057.E198 C87 1994'],['95123568'],,,,,,305.0,,,['31785980'],,305 p. ;,,,enk,1994,"['London', 'New York']","['Hamish Hamilton', 'Penguin Books, USA']",5,,,,,,,,,cure,The ,/type/edition,,,,,,,[{'key': '/works/OL738883W'}]
0,[{'key': '/authors/OL364910A'}],Dan Chima Amadi.,,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['823'],,,,,,,,,['5668945'],,,['9782900109'],,,/books/OL851275M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:37:47.730970,4,['PR9387.9.A47 S43 1994'],['95131430'],,,,,,274.0,,,['32970121'],,274 p. ;,,,nr ,1994,['Enugu [Nigeria]'],['New Generation Books'],4,,,,,,,,,Secrets are wavering flames,,/type/edition,,,,,,,[{'key': '/works/OL2562806W'}]
