,authors,by_statement,contributions,contributors,copyright_date,coverimage,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.amazon,identifiers.amazon.co.uk_asin,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subject_times,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL40224A'}],Jack L. Chalker.,,,,,,/type/datetime,2008-09-16T16:51:28.568286,,,,['813/.54'],,,,,,,,,,['2799129'],,['62642'],['0140068198'],,,/books/OL14946689M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,8,,,,,,/type/text,"Originally published, New York, BallantineBooks, 1980.",304.0,,,['12466110'],,"x,304p. :",,,xxk,1984,['Harmondsworth'],['Penguin'],8,['The Well world saga -- 5'],['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:480298576:790'],,,,,the legacy of Nathan Brazil,,Twilight at the well of souls,,/type/edition,,,,,,,[{'key': '/works/OL84425W'}]
0,[{'key': '/authors/OL353299A'}],Wendy Perriam.,,,,,,/type/datetime,2008-09-16T16:57:25.804101,,,,['823/.914'],,,,,,,,,,['2145321'],,['402575'],['0140082972'],,,/books/OL14947376M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,5,,,,,,/type/text,"Originally published, London , Joseph, 1985.",604.0,,,['15281852'],,604p. ;,,,xxk,1986,['Harmondsworth'],['Penguin'],5,,,,,,,,,The stillness the dancing,,/type/edition,,,,,,,[{'key': '/works/OL2511623W'}]
0,[{'key': '/authors/OL4752723A'}],Anita Mason.,,,,,,/type/datetime,2008-09-16T17:18:22.544374,,,,['823.914'],,,,,,,,,,['1088787'],,['57490'],['0140234772'],,,/books/OL14949855M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T01:45:43.566373,5,,,,,,/type/text,"Originally published, Hamish Hamilton, 1983.",288.0,,,,,288p. ;,,,enk,1994,['Harmondsworth'],['Penguin'],5,,['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:481742859:557'],,,,,,,illusionist,The ,/type/edition,,,,,,,[{'key': '/works/OL11314376W'}]
0,[{'key': '/authors/OL953387A'}],by Dorothy Cork.,,,,,,/type/datetime,2008-09-16T22:47:25.268396,,,,['823/.9/1F'],,,,,,,,,,['6731314'],,,['0263053881'],,,/books/OL14975746M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,,,187.0,,,['1967814'],,187p. ;,,,xxk,1973,['London'],['Mills and Boon'],4,,,,,,,,,Spirit of the sun,,/type/edition,,,,,,,[{'key': '/works/OL4641780W'}]
0,[{'key': '/authors/OL3486706A'}],by Rose Elver.,,,,,,/type/datetime,2008-09-16T22:56:10.298276,,,,['823/.9/1F'],,,,,,,,,,['5628137'],,,['0263096092'],,,/books/OL14976879M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,,,189.0,,,['6606292'],,189p. ;,,,xxk,1980,['London'],['Millsand Boon'],4,,,,,,['Fiction in English.'],,,Lark ascending,,/type/edition,,,,,,,[{'key': '/works/OL9468022W'}]
0,[{'key': '/authors/OL2674708A'}],Karen Van der Zee.,,,,,,/type/datetime,2008-09-16T23:11:15.429411,,,,['823.914'],,,,,,,,,,['6411630'],,['5828323'],['0263137473'],,,/books/OL14978802M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,6,,,,,,,,192.0,,,['29540292'],,(192)p. ;,,,enk,1993,,['Mills & Boon'],6,,,,,,,,,Making magic,,/type/edition,,,,,,,[{'key': '/works/OL4220835W'}]
0,[{'key': '/authors/OL1910070A'}],by Jean Evans.,,,,,,/type/datetime,2008-09-16T23:24:15.424903,,,,['823/.914'],,,,,,,,,,['1212142'],,,['0263743802'],,,/books/OL14980724M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,,,189.0,,,['12467702'],,189p. ;,,,xxk,1983,['London'],['Mills & Boon'],4,['Doctor nurse romance'],,,,,,,,Doctors in dispute,,/type/edition,,,,,,,[{'key': '/works/OL6904309W'}]
0,[{'key': '/authors/OL28641A'}],by Robert A. Heinlein.,,,,,,/type/datetime,2008-09-17T01:15:02.392262,,,,['823/.91'],,,,,,,,,,['2160037'],,['18897'],['0330022350'],,,/books/OL14991032M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,7,,,,,,/type/text,"Originally published, New York, Doubleday, 1951; (B53-4788), London, Museum P., 1953.",220.0,,,['220543975'],,220p. ;,,,xxk,1969,['London'],['Pan Books'],7,['Pan science fiction'],,,,,,,,The puppet masters,,/type/edition,,,,,,,[{'key': '/works/OL59729W'}]
0,[{'key': '/authors/OL27695A'}],Agatha Christie.,,,,,,/type/datetime,2008-09-17T01:22:27.792208,,,,['823/.9/1'],,,,,,,,,,['7148334'],,['19876'],['0330104012'],,,/books/OL14991425M,[{'key': '/languages/eng'}],/type/datetime,2011-11-04T22:36:52.559964,6,,,,,,/type/text,"Originally published, London , Collins, 1931.",203.0,,,,,203p. ;,,,xxk,1980,['London'],['Pan Books'],6,,,,,,['Fiction in English.'],,,TheS ittaford mystery,,/type/edition,,,,,,,[{'key': '/works/OL472303W'}]
0,,edited by Brian W. Aldiss and Harry Harrison.,"['Aldiss, Brian W. 1925-', 'Harrison, Harry, 1925-']",,,,,/type/datetime,2008-09-17T02:25:32.046655,,,,['823/.9/1FS'],,,,,,,,,,['6005161'],,['1152927'],['0333190025'],,,/books/OL14995582M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T02:02:09.663410,3,,,,,,,,287.0,,,,,287p. ;,,,xxk,1977,['London (etc.)'],['Macmillan'],3,,,,,,"['Short stories, English.']",,,"Decade, the 1960s",,/type/edition,,,,,,,
0,[{'key': '/authors/OL2748512A'}],Thea Lovan.,,,,,,/type/datetime,2008-09-17T04:19:25.252817,,,,['813/.54'],,,,,,,,,,['5869439'],,,['0340361751'],,,/books/OL15007947M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,['PS3562.O83/'],,,,,,,188.0,,,['59144806'],,188p. :,,,xxk,1984,['Sevenoaks'],['Silhouette'],4,['Silhouette romance'],,,,,,,,A tenderpassion,,/type/edition,,,,,,,[{'key': '/works/OL8260446W'}]
0,,compiled by Garry Chambers ; illustrated by Bill Tidy.,"['Chambers, Garry.']",,,,,/type/datetime,2008-09-17T04:50:01.572394,,,,['828/.91407/080352039162'],,,,,,,,,,['6894481'],,,['0352306793'],,,/books/OL15010781M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,3,,,,,,,,125.0,,,['16549776'],,125p. :,,,xxk,1981,['(London)'],['Star'],3,,,,,,"['English wit and humor.', 'National characteristics, Irish -- Anecdotes, facetiae, satire, etc.']",,,The Last complete Irish gag book,,/type/edition,,,,,,,
0,[{'key': '/authors/OL1414136A'}],Patrick Lee.,,,,,,/type/datetime,2008-09-17T04:54:09.046697,,,,['813/.54'],,,,,,,,,,['1305473'],,['2105391'],['0352310774'],,,/books/OL15011052M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,5,,,,,,/type/text,"Originally published, S.l. , Pinnacle, 1981.",176.0,,,['16609286'],,176p. ;,,,xxk,1982,['London'],['W.H. Allen'],5,['Six-gun samurai'],,,,,,,,Gundown at Golden Gate,,/type/edition,,,,,,,[{'key': '/works/OL5784315W'}]
0,[{'key': '/authors/OL751358A'}],Neil Ruzic.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,,,['4698460'],,['4179921'],['0963235702'],,,/books/OL1502301M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T03:42:16.521463,4,['PS3568.U89 S48 1992'],['93180938'],,,,,,536.0,,,,,536 p. ;,,,ctu,1992,"['Madison, CT', 'Hollywood, Fla']","['St. Clair Press', 'Distributed by Lifetime Books']",4,,,['Bahamas'],,,"['Drug traffic -- Fiction.', 'Bahamas -- Fiction.']",,,shallow sea,The ,/type/edition,,,,,,,[{'key': '/works/OL4043219W'}]
0,[{'key': '/authors/OL39331A'}],Peter Tremayne.,,,,,,/type/datetime,2008-09-17T12:12:07.773160,,,,['823/.914'],,,,,,,,,,['1082506'],,['906041'],['0413520005'],,,/books/OL15031551M,[{'key': '/languages/eng'}],/type/datetime,2011-05-20T14:03:49.628152,6,,,,,,,,201.0,,,['10220474'],,201p. ;,,,xxk,1984,['London'],['Methuen'],6,['A Methuen paperback'],,,,,,,,The buccaneers of Lan-Kern,,/type/edition,,,,,,,[{'key': '/works/OL11359483W'}]
0,[{'key': '/authors/OL2939328A'}],Charles Alverson.,,,,,,/type/datetime,2008-09-17T12:41:45.819294,,,,['823/.914'],,,,,,,,,,['4292925'],,,['0417040407'],,,/books/OL15034901M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,/type/text,"Originally published, Boston, Mass. , Houghton, Mifflin, 1977 ; London , H. Hamilton, 1978.",207.0,,,['16608834'],,207p. ;,,,xxk,1980,['(London)'],['Magnum'],4,,,,,,,,,"Not sleeping,just dead",,/type/edition,,,,,,,[{'key': '/works/OL8690355W'}]
0,[{'key': '/authors/OL2702342A'}],,,,,,,/type/datetime,2008-09-17T12:59:43.664355,,,,['823.91'],,,,,,,,,,['2588671'],,['4046619'],['0426034201'],,,/books/OL15037434M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T02:11:01.437455,4,,,,,,,,156.0,,,,,"156p.,18cm",,,xxk,1968,,['Award Books; Tandem'],4,,,,,,,,,dollar to die for.,A ,/type/edition,,,,,,,[{'key': '/works/OL8110575W'}]
0,[{'key': '/authors/OL23222A'}],(by) Erle Stanley Gardner.,,,,,,/type/datetime,2008-09-17T13:11:29.689580,,,,['823/.9/1F'],,,,,,,,,,['1439566'],,,['0434282219'],,,/books/OL15039292M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,5,,,,,,/type/text,"Originally published, New York, Morrow, 1966.",212.0,,,['2568372'],,"ix,212p. ;",,,xxk,1972,['London'],['Heinemann'],5,['(A Perry Mason mystery)'],['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:582760479:694'],,,,,,,The case of the worried waitress,,/type/edition,,,,,,,[{'key': '/works/OL16708W'}]
0,[{'key': '/authors/OL24072A'}],Poul Anderson. 2.,,,,,,/type/datetime,2008-09-17T14:20:16.773565,,,,['813/.54'],,,,,,,,,,['2150418'],,['9628201'],['0450048004'],,,/books/OL15048829M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,12,,,,,"Originally published, in 1vol. New York , Berkeley, 1978.",,,159.0,,,['70980361'],,159p. ;,,Paperback,xxk,1980,['London'],['New English Library/Times Mirror'],12,,['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:594531645:691'],,,,,,,The  Earth Book of Stormgate - 2,,/type/edition,,,,,,,[{'key': '/works/OL90530W'}]
0,[{'key': '/authors/OL32436A'}],,,,,,,/type/datetime,2008-09-17T14:20:40.787211,,,,['813/.54'],,,,,,,,,,['940047'],,['32248'],['0450048896'],,,/books/OL15048865M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T02:12:35.222330,4,['PS3573.I/'],,,,,,,379.0,,,,,379p.,,,xxk,1982,['London'],['New English Library'],4,,['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:594544959:579'],,,,,,,keep.,The ,/type/edition,,,,,,,[{'key': '/works/OL108168W'}]
0,[{'key': '/authors/OL4774999A'}],by Mary Gentle.,,,,,,/type/datetime,2008-09-17T14:32:39.233566,,,,['823/.914'],,,,,,,,,,['808669'],,['48113'],['0451450132'],,,/books/OL15050200M,[{'key': '/languages/eng'}],/type/datetime,2014-07-30T06:37:12.070431,7,,,,,,,,576.0,ancientlight00gent,,['21793524'],,576p. :,,,xxu,1990,['New York'],['Roc'],7,,['ia:ancientlight00gent'],,,,,,,Ancient light,,/type/edition,,,,,,,[{'key': '/works/OL11370195W'}]
0,,arranged by S.L. Edwards.,,,,,,,,,,,['828.08'],,,,,,,,,,['5580749'],,,['0460006754'],,,/books/OL15050752M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T09:36:47.570454,2,,,,,,,,,,,,,,,,xxk,1914,['London'],['Dent'],2,"[""Everyman's library""]",,,,,,an anthology of English prose,,Bede-Stevenson,,/type/edition,,,,,,,
0,,edited by Elizabeth Rudd.,"['Rudd, Elizabeth.']",,,,,/type/datetime,2008-09-17T15:58:40.023064,,,,"['808.8', '760/0375/.0447']",,,,,,,,,,['4285312'],,['9767176'],['0491026048'],,,/books/OL15056736M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,"['PN6071.D6/', 'N7745.D/']",,,,,,,55.0,,,['16557965'],,55p. :,,,xxk,1980,['London'],['W.H. Allen'],4,,,,,,"['Dragons -- Literary collections.', 'Dragons in art.']",,,Dragons,,/type/edition,,,,,,,
0,[{'key': '/authors/OL1350281A'}],by Dick Clements (i.e. Clement) and Ian La Frenais ; adapted from the T.V. series by Patrick Tilley.,"['Clement, Dick.', 'La Frenais, Ian.', 'British Broadcasting Corporation.']",,,,,/type/datetime,2008-09-17T18:55:56.254349,,,,['823/.9/1'],,,,,,,,,,['4352072'],,['2395431'],['0563125691'],,,/books/OL15064777M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T02:19:39.180310,4,,,,,,,,246.0,,,,,246p. ;,,,xxk,1974,['London'],['British Broadcasting Corporation'],4,,,,,,['Fiction in English.'],,,What ever happened to the likely lads?,,/type/edition,,,,,,,[{'key': '/works/OL5606032W'}]
0,[{'key': '/authors/OL1691556A'}],by Sheldon Rosen.,,,,,[5297515],/type/datetime,2008-09-17T19:34:20.110255,,,,['812/.54'],,,,,,,,,,['5187257'],,,['0573613265'],,,/books/OL15067862M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,5,,,,,,/type/text,"Three men, 1 woman.

Originally published, Toronto , Playwrights Co-op., 1978.",90.0,,,['8856047'],,90p. :,,,xxk,1982,"['New York', 'London']",['French'],5,,,,,,,a drama,,Ned andJack,,/type/edition,,,,,,,[{'key': '/works/OL6410122W'}]
0,[{'key': '/authors/OL7046811A'}],C.J. Cherryh.,,,,,[6461331],/type/datetime,2008-09-17T19:49:07.036720,,,,['813/.54'],,,,,,,,,,['1793225'],,['81236'],['0575040440'],,,/books/OL15069121M,[{'key': '/languages/eng'}],/type/datetime,2014-02-25T23:04:07.340961,9,['PS3553.H358'],,,,"Originally published, New York , Daw, 1983.",,,192.0,,,['16466964'],,192p. ;,,Paperback,xxk,1987,['London'],['VGSF'],9,,,,,,,,,The  dreamstone,,/type/edition,,,,,,,[{'key': '/works/OL15343709W'}]
0,,compiled by Abby Adams.,"['Adams, Abby.']",,,,,/type/datetime,2008-09-17T19:50:50.826332,,,,['828.02'],,,,,,,,,,['4447992'],,['42637'],['0575048778'],,,/books/OL15069288M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,['PN6081'],,,,,/type/text,"Cover sub-title: 1,000 quotable quotes on subjects from the preposterous to the divine, uttered by history's most witty &wicked women.",262.0,,,['59199558'],,262p. :,,,enk,1990,['London'],['Gollancz'],4,,,,,,"['Quotations, English -- Miscellanea -- Periodicals.']",,,An Uncommon scold,,/type/edition,,,,,,,
0,[{'key': '/authors/OL4778838A'}],,,,,,,,,,,,['813.54'],,,,,,,,,,['2114969'],,,['0575055596'],,,/books/OL15069356M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T09:36:47.570454,3,,,,,,,,208.0,,,,,208p.,,,enk,1993,,['Gollancz'],3,,,,,,,,,Arizona kiss.,,/type/edition,,,,,,,[{'key': '/works/OL11377722W'}]
0,[{'key': '/authors/OL73276A'}],César Fernández Moreno.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['861'],,,,,,,,,,['2671414'],,,['9505153694'],,,/books/OL1506958M,[{'key': '/languages/spa'}],/type/datetime,2010-04-16T03:48:22.546450,4,['PQ7797.F373 A82 1992'],['93187888'],,,,,,208.0,,,,,208 p. ;,,,ag ,1992,"['Buenos Aires, República Argentina']",['Ediciones de la Flor'],4,,,,,,,,"[{'class': 'part', 'type': {'key': '/type/toc_item'}}]",Ambages completos,,/type/edition,,,,,,,[{'key': '/works/OL848409W'}]
0,[{'key': '/authors/OL855501A'}],by Ursula Zilinsky.,,,,,,/type/datetime,2008-09-17T20:19:00.998585,,,,['823/.91'],,,,,,,,,,['4491489'],,,['0582108705'],,,/books/OL15072697M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,/type/text,"Originally published, Philadelphia, Lippincott, 1968.",192.0,,,['12846190'],,192p. ;,,,xxk,1970,['Harlow'],['Longmans'],4,,,,,,,,,Middle ground,,/type/edition,,,,,,,[{'key': '/works/OL4358601W'}]
0,[{'key': '/authors/OL1075236A'}],Jody Sorenson.,,,,,,/type/datetime,2008-09-17T22:43:26.115815,,,,['813/.54'],,,,,,,,,,['2781253'],,,['0590706187'],,,/books/OL15085390M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,/type/text,"Originally published, New York , Scholastic, 1985.",153.0,,,['16089204'],,153p. ;,,,xxk,1986,['London'],['Hippo'],4,['Cheerleaders -- 9'],,,,,,,,Playing games,,/type/edition,,,,,,,[{'key': '/works/OL4976982W'}]
0,[{'key': '/authors/OL754215A'}],Nadeem Aslam.,,,,,[3958689],/type/datetime,2008-04-01T03:28:50.625462,,,,['823'],,,,,,,,,,['869656'],,['299144'],['0233988122'],,,/books/OL1508800M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T03:43:56.073233,5,['PR9540.9.A83 S4 1993'],['93190449'],,,,,,196.0,,,['27865644'],,196 p. ;,,,enk,1993,['London'],['Andre Deutsch'],5,,,['Pakistan'],,,['Pakistan -- Fiction.'],,,Season of the rainbirds,,/type/edition,,,,,,,[{'key': '/works/OL4050793W'}]
0,[{'key': '/authors/OL44091A'}],Czeslaw Milosz.,,,,,,/type/datetime,2008-09-18T10:04:34.595243,,,,['891.8/517'],,,,,,,,,,['6332612'],,['129883'],['0670820202'],,,/books/OL15102107M,[{'key': '/languages/eng'}],/type/datetime,2011-04-18T02:06:31.914746,5,,,,,,/type/text,Includes index.,511.0,,,,,"xvi,511p. ;",,,xxk,1988,['London'],['Viking'],5,,,,,,,,,The collected poems 1931-1987,,/type/edition,,,,,,['Poems.'],[{'key': '/works/OL11313749W'}]
0,[{'key': '/authors/OL4327434A'}],,,,,,,/type/datetime,2008-09-18T11:26:00.166408,,,,['823.912'],,,,,,,,,,['6347842'],,['922840'],['0701200782'],,,/books/OL15108981M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,5,,,,,,,,,,,['466353496'],,,,,xxk,1952,['London'],['Hogarth Press'],5,,,,,,,,,Doting.,,/type/edition,,,,,,,[{'key': '/works/OL10429262W'}]
