,authors,by_statement,contributions,contributors,copyright_date,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,identifiers.oclc,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,translated_from,translation_of,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL766230A'}],by Jesse Harris.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Teenage McKenzie Gold uses her psychic powers to fight a hideous flesh-eating thing that lurks beneath Idlewood Amusement Park.,['[Fic]'],1st Borzoi sprinter ed.,,,,['Fiction.'],,,"['4229648', '6975430']",,['5068764'],,"['0679822690', '0679922695']",,,/books/OL1565253M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:27:21.941287,4,['PZ7.H2419 Cat 1992'],['91047035'],,,,/type/text,"""Borzoi sprinters.""",168.0,,,,,168 p. ;,,,nyu,1992,['New York'],"['Knopf', 'Distributed by Random House']",4,"['The Power ;', '#6']",,,,"['Extrasensory perception -- Fiction.', 'Supernatural -- Fiction.', 'Amusement parks -- Fiction.']",,,Catacombs,The ,,,/type/edition,,,,,,,[{'key': '/works/OL4090798W'}]
0,[{'key': '/authors/OL329818A'}],by Priscilla Cummings ; illustrated by A.R. Cohen.,"['Cohen, A. R., ill.']",,,[1617110],/type/datetime,2008-04-01T03:28:50.625462,,,,['[E]'],,,,,,,,['4774458'],,['8878835'],,['0870334239'],,,/books/OL1570848M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,6,['PZ7.C9149 Si 1991'],['91065255'],,,,,,30.0,,,['25621517'],,30 p. :,,,mdu,1991,"['Centreville, Md']",['Tidewater Publishers'],6,,,['Chesapeake Bay (Md. and Va.)'],,"['Osprey -- Fiction.', 'Diners (Restaurants) -- Fiction.', 'Chesapeake Bay (Md. and Va.) -- Fiction.']",,,Sid and Sal's Famous Channel Marker Diner,,,,/type/edition,,,,,,,[{'key': '/works/OL2403360W'}]
0,[{'key': '/authors/OL778652A'}],,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.54'],1st ed.,,,,,,,['5029744'],,['7127691'],,['0938078356'],,,/books/OL1577470M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,['PS3562.E3784 S4 1992'],['91078124'],,,,,,59.0,,,['28003784'],,59 p. ;,,,flu,1992,"['Tallahassee, Fla']",['Anhinga Press'],5,,,,,,,,The secret life of moles.,,,,/type/edition,,,,,,,[{'key': '/works/OL4140293W'}]
0,[{'key': '/authors/OL751252A'}],by Lily Jones ; illustrated by David Prebenna.,"['Prebenna, David, ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['[E]'],,,,,,['IA114322'],['babykermitsplayt00jone'],['1681130'],,['2338170'],,['0307100243'],,,/books/OL1577535M,[{'key': '/languages/eng'}],/type/datetime,2011-08-12T00:22:46.383084,6,['PZ8.3.J753 Bab 1992'],['91078220'],,,,/type/text,"""A Muppet Press/Golden Press book.""",,,,['33011074'],,1 v. (unpaged) :,,,wiu,1992,"['[Racine, Wis.]']",['Western Pub. Co.'],6,['A golden super shape book'],,,,"['Play -- Fiction.', 'Babies -- Fiction.', 'Alphabet.', 'Stories in rhyme.']",,,Baby Kermit's playtime ABC,,,,/type/edition,,,,,,,[{'key': '/works/OL4042903W'}]
0,[{'key': '/authors/OL778688A'}],James A. Janke.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['[Fic]'],,,,,,,,['3671976'],,,,['0803489285'],,,/books/OL1577579M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,4,['PZ7.J2432 Mc 1992'],['91078293'],,,,/type/text,"""Avalon westerns""--Jacket.",185.0,,,['25377385'],,185 p. ;,,,nyu,1992,"['New York, N.Y']",['Avalon Books'],4,,,['West (U.S.)'],,['West (U.S.) -- Fiction.'],,,McHenry's last shoot-out,,,,/type/edition,,,,,,,[{'key': '/works/OL4140411W'}]
0,[{'key': '/authors/OL779017A'}],by Tom Soike ; illustrated by Barbara Meek.,"['Meek, Barbara, ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['[E]'],Special collector's ed.,,,,,,,['5024513'],,,,['0963120107'],,,/books/OL1578141M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,4,['PZ8.3.S694 Har 1991'],['91091311'],,,,/type/text,"""December 1991""--T.p. verso.",,,,['31641884'],,1 v. (unpaged) :,,,cau,1991,"['Shingle Springs, Calif']",['T.E. Soike'],4,,,,,"['God -- Fiction.', 'Stories in rhyme.']",,,Harriet's chariot,,,,/type/edition,,,,,,,[{'key': '/works/OL4141402W'}]
0,[{'key': '/authors/OL93155A'}],Braulio Tavares.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['869.3'],,,,,,,,['3484782'],,['1129456'],,['9722104314'],,,/books/OL1589826M,[{'key': '/languages/por'}],/type/datetime,2011-04-26T13:19:59.524026,5,['PQ9698.3.A845 E84 1989'],['91119035'],,,,/type/text,"""Caminho de bolso, texto integral.""",165.0,,,['23179346'],,165 p. ;,,,po ,1989,['Lisboa'],['Caminho'],5,"['Ficção científica ;', '97']",,,,,,,A espinha dorsal da memória,,,,/type/edition,,,,,,,[{'key': '/works/OL1002382W'}]
0,[{'key': '/authors/OL274382A'}],Helga Bemmann.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,"['838/.91209', 'B']",1. Aufl.,,,,,,,['2938792'],,['3876311'],,['3373003938'],,,/books/OL1600688M,[{'key': '/languages/ger'}],/type/datetime,2010-07-31T04:43:41.070812,4,['PT2642.U4 Z62 1990'],['91135578'],,,,/type/text,Includes bibliographical references (p. 576-580) and index.,589.0,,,,,589 p. :,,,gw ,1990,['Berlin'],['Verlag der Nation'],4,,,,['20th century'],"['Tucholsky, Kurt, 1890-1935.', 'Authors, German -- 20th century -- Biography.']",ein Lebensbild,,Kurt Tucholsky,,,,/type/edition,,,,,,,[{'key': '/works/OL2171016W'}]
0,[{'key': '/authors/OL790694A'}],Ginette Picat-Guinoiseau.,,,,[3981989],,,,,,['842/.7'],,,,,,,,['4665242'],,,,['2051011206'],,,/books/OL1606206M,[{'key': '/languages/fre'}],/type/datetime,2010-04-16T03:53:39.950450,4,['PQ2376.N6 Z673 1990'],['91143662'],,,,/type/text,Includes bibliographical references (p. [341]-368) and index.,379.0,,,,,379 p. ;,,,fr ,1990,['Paris'],['Libr. H. Champion'],4,,,['France'],['19th century.'],"['Nodier, Charles, 1780-1844 -- Dramatic works.', 'Nodier, Charles, 1780-1844 -- Stage history -- France.', 'Theater -- France -- History -- 19th century.']",,,Nodier et le théâtre,,,,/type/edition,,,,,,,[{'key': '/works/OL4175973W'}]
0,[{'key': '/authors/OL4752864A'}],Catherine Sefton ; illustrated by Maureen Bradley.,"['Bradley, Maureen.']",,,,/type/datetime,2008-09-22T12:37:31.494974,,,,['823.914'],,,,,,,,['4367731'],,,,['0241134897'],,,/books/OL16185832M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,4,,,,,,,,64.0,,,['33309604'],,(64)p. :,,,enk,1995,['London'],['Hamish Hamilton'],4,['Antelope books'],,,,,,,The Skeleton Club,,,,/type/edition,,,,,,,[{'key': '/works/OL11314849W'}]
0,,herausgegeben von der Arbeitsgemeinschaft Literarischer Gesellschaften e.V. ; zusammengestellt und bearbeitet von Sven Arnold.,"['Arnold, Sven.', 'Arbeitsgemeinschaft Literarischer Gesellschaften.']",,,[3983792],,,,,,['830/.6043'],,,,,,,,['4589827'],,,,['3870241640'],,,/books/OL1621696M,[{'key': '/languages/ger'}],/type/datetime,2010-04-16T03:53:39.950450,3,['PT23 .L54 1991'],['91166354'],,,,,,319.0,,,,,319 p. :,,,gw ,1991,['Berlin'],['Argon'],3,,,['Germany.'],,"['German literature -- Societies, etc.', 'German literature -- Study and teaching -- Germany.']",ein Handbuch mit Einzeldarstellungen in Texten und Bildern,,Literarische Gesellschaften in Deutschland,,,,/type/edition,,,,,,,
0,[{'key': '/authors/OL336504A'}],Alexander McCall Smith ; illustrated by J. Baylis.,"['Baylis, Jean.']",,,,/type/datetime,2008-09-22T20:40:38.759142,,,,['823.914'],,,,,,,,['5471853'],,,,['021694032X'],,,/books/OL16235953M,[{'key': '/languages/eng'}],/type/datetime,2010-08-10T06:36:58.090600,4,,,,,,,,80.0,,,,,80p. :,,,enk,1993,['London'],"[""Blackie children's books""]",4,['Blackie snapper series'],,,,,,,Cowgirl aunt of Harriet Bean,,,,/type/edition,,,,,,,[{'key': '/works/OL2435506W'}]
0,[{'key': '/authors/OL90748A'}],José Antonio Garmendia ; [prólogo de Antonio Burgos].,,,,,/type/datetime,2008-09-23T02:11:14.758208,,,,['863/.64'],,,,,,,,['5382208'],,,,['8495122391'],,,/books/OL16275878M,[{'key': '/languages/spa'}],/type/datetime,2010-04-16T09:51:56.938639,6,['PQ6657.A785 T33 2000'],['2001352813'],,,,,,140.0,,,,,140 p. ;,,,sp ,2000,['Sevilla [Spain]'],['Signatura Ediciones'],6,,"['marc:marc_loc_updates/v35.i16.records.utf8:3727092:630', 'marc:marc_loc_updates/v35.i17.records.utf8:2779293:630', 'marc:marc_loc_updates/v36.i31.records.utf8:5000309:733']",,,,santuario de la gracia,"[{'type': {'key': '/type/toc_item'}, 'class': 'section'}]",taberna de El Traga,La,,,/type/edition,,,,,,,[{'key': '/works/OL984831W'}]
0,[{'key': '/authors/OL22145A'}],by Janet S. Wong ; illustrated by E.B. Lewis.,"['Lewis, Earl B., ill.']",,,,/type/datetime,2008-09-23T06:42:10.252837,,/type/text,"A young girl describes her grandmother's comfortable, long-time home, and wishes that she and her parents could stay in the same house instead of moving so often.",['[E]'],1st ed.,,,,['Fiction.'],,,['6556719'],,['8270815'],,['0689847181'],['9780689847189'],,/books/OL16310582M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T04:14:19.119945,8,['PZ7.W842115 Hom 2009'],['2006038599'],,,,,,,,,,,p. cm.,,,nyu,2009,['New York'],['Margaret K. McElderry Books'],8,,"['marc:marc_loc_updates/v35.i22.records.utf8:7275920:947', 'marc:marc_loc_updates/v37.i47.records.utf8:6539030:984', 'marc:marc_loc_updates/v37.i48.records.utf8:6574015:984', 'marc:marc_loc_updates/v38.i11.records.utf8:8221025:984']",,,"['Home -- Fiction', 'Moving, Household -- Fiction', 'Grandmothers -- Fiction']",,,Homegrown house,,,,/type/edition,,,,,,,[{'key': '/works/OL15283792W'}]
0,[{'key': '/authors/OL262920A'}],Tomas Tranströmer ; translation from the Swedish by Don Coles.,,,,,/type/datetime,2008-09-23T09:28:07.918623,,,,['839.71/74'],Bilingual ed.,,,,,,,['865184'],,['297207'],,['0969990413'],,,/books/OL16335381M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T04:18:40.096757,5,['PT9876.3.R3 F6713 1994'],,,,,/type/text,"Gift to Victoria University Library. Reibetanz, John. 2005/03/02.",56.0,,,,,56 p.,,,onc,1996,['Ottawa'],['Buschek Books'],5,,['marc:marc_university_of_toronto/uoft.marc:754011659:1119'],,,,,,For the living and the dead,,,,/type/edition,,,,,,['För levande och döda.'],[{'key': '/works/OL2116580W'}]
0,[{'key': '/authors/OL4993090A'}],Matéi Visniec.,,,,,/type/datetime,2008-09-23T10:37:32.379617,,,,['842'],,,,,,,,['1219213'],,,,['2742749489'],['9782742749485'],,/books/OL16344918M,[{'key': '/languages/fre'}],/type/datetime,2010-04-24T19:02:51.403459,5,,,,,,,,79.0,,,['56064016'],,79 p. ;,,,fr ,2004,['Arles'],['Actes sud'],5,['Papiers'],['marc:marc_oregon_summit_records/catalog_files/lewisandclarkbibsrev.mrc:388484727:807'],,,,,,"Du pain plein les poches, le dernier Godot, l'araignée dans la plaie, le deuxième tilleul à gauche",,,,/type/edition,,,,,,,[{'key': '/works/OL11746432W'}]
0,[{'key': '/authors/OL81246A'}],"David Buchbinder, with a chapter on poetry and gender by Barbara H. Milech.","['Milech, Barbara H.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['801/.951'],,,,,,,,['4517343'],,['58889'],,"['0732905095', '0732905087']",,,/books/OL1634687M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:50:14.150835,4,['PN81 .B795 1991'],['91185334'],,,,/type/text,Includes bibliographical references and index.,148.0,,,,,"x, 148 p. ;",,,at ,1991,['South Melbourne'],['Macmillan'],4,,,,,"['Criticism.', 'Poetry -- History and criticism -- Theory, etc.']",,,Contemporary literary theory and the reading of poetry,,,,/type/edition,,,,,,,[{'key': '/works/OL919372W'}]
0,[{'key': '/authors/OL4999503A'}],G.M. Kearney.,,,,,/type/datetime,2008-09-23T13:42:12.933719,,/type/text,"With the help of three magical apple tree seedlings, the rightful heir to the kindgom of Tschlin is selected from among the king's three daughters.",['[E]'],,,,,['Fiction.'],,,['5720316'],,,,,['9781599550985'],,/books/OL16364431M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,['PZ8.K3 Ap 2008'],['2007045101'],,,,,,,,,['185056526'],,p. cm.,,,utu,2008,"['Springville, Utah']",['CFI'],5,,"['marc:marc_loc_updates/v35.i53.records.utf8:4400478:751', 'marc:marc_loc_updates/v36.i42.records.utf8:13928529:834']",,,"['Fairy tales', 'Princesses -- Fiction']",,,The apple trees of Tschlin,,,,/type/edition,,,,,,,[{'key': '/works/OL11755297W'}]
0,[{'key': '/authors/OL1394989A'}],by Shannon Hale ; [illustrations by James Noel Smith].,"['Smith, James Noel, ill.']",,,,/type/datetime,2008-09-23T13:43:04.314259,,/type/text,"Fifteen-year-old Dashti, sworn to obey her sixteen-year-old mistress, the Lady Saren, shares Saren's years of punishment locked in a tower, then brings her safely to the lands of her true love, where both must hide who they are as they work as kitchen maids.",['[Fic]'],Large print ed.,,,,,,,['2626489'],,['2803758'],,['1410405826'],['9781410405821'],,/books/OL16364538M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T04:22:58.316299,7,['PZ7.H13824 Boo 2008'],['2007048822'],,,,,,,,,,,p. cm.,,,meu,2008,"['Waterville, Me']",['Thorndike Press'],7,,"['marc:marc_loc_updates/v35.i53.records.utf8:4477110:1067', 'marc:marc_loc_updates/v36.i17.records.utf8:8186400:1061', 'marc:marc_loc_updates/v36.i21.records.utf8:4021375:1061']",,,"['Large type books', 'Fantasy', 'Large type books']",,,Book of a thousand days,,,,/type/edition,,,,,,,[{'key': '/works/OL5738590W'}]
0,[{'key': '/authors/OL538087A'}],Olaf Stapledon.,,,,,/type/datetime,2008-09-23T13:52:25.428818,,,,['823/.912'],,,,,['Fiction.'],,,['3470273'],,['18977'],,['0486466833'],['9780486466835'],,/books/OL16365652M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,8,['PR6037.T18 S7 2008'],['2007052660'],,,,/type/text,Includes bibliographical references (p.   ).,,,,['185095723'],,p. cm.,,,nyu,2008,"['Mineola, N.Y']",['Dover Publications'],8,,"['marc:marc_loc_updates/v35.i53.records.utf8:5158447:657', 'marc:marc_loc_updates/v36.i01.records.utf8:15487618:765', 'marc:marc_loc_updates/v36.i34.records.utf8:10673363:780']",,,['Cosmology -- Fiction'],,,Star maker,,,,/type/edition,,,,,,,[{'key': '/works/OL3290759W'}]
0,[{'key': '/authors/OL22521A'}],Aaron Shurin.,,,,,/type/datetime,2008-09-23T15:50:59.737663,,,,['811/.54'],,,,,['Biography.'],,,['2423475'],,['5339973'],,,['9780872864900'],,/books/OL16383542M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T04:24:33.065204,8,['PS3569.H86 Z46 2006'],['2007052478'],,,,/type/text,A collection of twenty-one autobiographical essays chronicling the author's gay life and life as a poet in San Francisco since the 1960s.,,,,,,p. cm.,,,cau,2008,"['San Francisco, CA']",['City Lights Books'],8,,"['marc:marc_loc_updates/v36.i01.records.utf8:15417975:962', 'marc:marc_loc_updates/v36.i25.records.utf8:11612664:1211', 'marc:marc_loc_updates/v36.i41.records.utf8:4401728:1196', 'marc:marc_loc_updates/v37.i35.records.utf8:37276377:1290', 'marc:marc_loc_updates/v37.i51.records.utf8:3651231:1290', 'marc:marc_loc_updates/v38.i07.records.utf8:9299050:1511']",,,"['Shurin, Aaron, -- 1947-', 'Poets, American -- United States -- Biography', 'Gay authors -- United States -- Biography', 'Gay authors -- California -- San Francisco -- Biography', 'Gay men -- California -- San Francisco -- Biography']",,,King of shadows,,,,/type/edition,,,,,,,
0,[{'key': '/authors/OL30955A'}],Michael Morpurgo ; illustrated by Lucy Richards.,"['Richards, Lucy.']",,,,/type/datetime,2008-09-23T16:36:11.112785,,/type/text,"Written for beginner readers, the stories in this series feature simple vocabulary and pictures on each page, designed for early stages of reading development. Each book offers a way to share storytelling and build reading confidence.","[""823.9'14""]",,,,,['Juvenile fiction.'],,,['2447800'],,['9275570'],,['140520950X'],,,/books/OL16387340M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T04:25:20.310763,3,,,,,,/type/text,"Originally published: London: Methuen Children's, 1994.",47.0,,,,,47p. :,,,enk,2003,['London'],"[""Egmont Children's""]",3,['Blue bananas'],,,,['Mermaids -- Juvenile fiction.'],,,Mairi's mermaid,,,,/type/edition,,,,,,,
0,[{'key': '/authors/OL30680A'}],by Stuart Woods.,,,,,/type/datetime,2008-09-23T20:59:14.773582,,,,['813/.54'],,,,,,,,['2913837'],,,,['141040479X'],['9781410404794'],,/books/OL16413559M,[{'key': '/languages/eng'}],/type/datetime,2011-01-09T02:14:04.316800,6,['PS3573.O642 S35 2008'],['2008000413'],,,,,,,,,,,p. cm.,,,meu,2008,"['Waterville, Me']",['Thorndike Press'],6,['Thorndike Press large print basic'],"['marc:marc_loc_updates/v36.i02.records.utf8:14669180:722', 'marc:marc_loc_updates/v36.i18.records.utf8:18775816:716', 'marc:marc_loc_updates/v38.i36.records.utf8:5595933:780']",,,['Large type books'],,,Santa Fe dead,,,,/type/edition,,,,,,,[{'key': '/works/OL491204W'}]
