,authors,by_statement,classifications.udc,contributions,contributors,copyright_date,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,"identifiers.bodleian,_oxford_university",identifiers.british_library,identifiers.goodreads,identifiers.librarything,identifiers.shelfari,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL355369A'}],Ilana Snyder.,,,,,[7107742],/type/datetime,2008-04-01T03:28:50.625462,,,,['808'],,,,,,['IA151801'],['hypertextelectro00snyd'],,,"['4335802', '695846']",['1543829'],,"['0814780784', '0814780792']",,,/books/OL1009928M,[{'key': '/languages/eng'}],/type/datetime,2012-05-01T03:24:42.822427,9,['QA76.76.H94 S64 1997'],['96049982'],,,,/type/text,"Includes bibliographical references (p. 123-131) and index.
Originally published: Carlton South, Vic. : Melbourne University Press, 1996.",137.0,hypertextelectro00snyd,,,,"xiii, 137 p. ;",,,nyu,1997,"['New York, N.Y']",['New York University Press'],9,,"['marc:marc_records_scriblio_net/part25.dat:206776441:771', 'marc:marc_loc_updates/v36.i02.records.utf8:3828919:988', 'ia:hypertextelectro00snyd']",,,['Hypertext systems'],the electronic labyrinth,,Hypertext,,/type/edition,,,,,,,[{'key': '/works/OL2521051W'}]
0,[{'key': '/authors/OL546208A'}],Gloria Chavez-Vasquez.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['863'],Rev. ed.,,,,,,,,,['3614117'],,,['0965077411'],,,/books/OL1013754M,[{'key': '/languages/eng'}],/type/datetime,2010-04-15T19:45:34.237008,3,['PQ8180.13.H36 A7413 1996'],['96060241'],,,,/type/text,English and Spanish parallel text.,225.0,,,,,225 p. :,,,nyu,1996,"['Brooklyn, NY']",['White Owl Editions'],3,,,,,,the magic of dreams = Akum : la magia de los sueños,,Akum,,/type/edition,,,,,['Akum.'],,[{'key': '/works/OL3360895W'}]
0,[{'key': '/authors/OL36204A'}],by Eloy J. Gallegos.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,,,['3998187'],['6088609'],,['1882194225'],,,/books/OL1014412M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,5,['PS3557.A41193 J33 1996'],['96061335'],,,,,,369.0,,,['36066142'],"['Jacona, an epic story of the Spanish Southwest']","viii, 369 p. :",,,tnu,1996,"['Knoxville, Tenn']",['Villagra Press'],5,,,"['Southwest, New', 'Santa Fe (N.M.)', 'New Mexico']",,"['Spaniards -- New Mexico -- Fiction.', 'Southwest, New -- Fiction.', 'Santa Fe (N.M.) -- Fiction.']",the epic story of the Spanish Southwest,,Jacona,,/type/edition,,,,,,,[{'key': '/works/OL519259W'}]
0,,"by the Writers Workshop of the John T. O'Connor Senior Center, Knoxville, Tennessee, 1996.",,"[""John T. O'Connor Senior Center (Knoxville, Tenn.). Writers Workshop.""]",,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['810.8/09285/0976885'],,,,,"['Literary collections.', 'Biography.']",,,,,['4720382'],,,['1882194241'],,,/books/OL1014694M,[{'key': '/languages/eng'}],/type/datetime,2010-04-15T20:03:15.550165,2,['PS508.A44 O98 1996'],['96061778'],,,,,,176.0,,,,,"viii, 176 p. ;",,,tnu,1996,"['Knoxville, TN']",['Tennessee Valley Pub.'],2,,,"['Tennessee', 'Knoxville.', 'Knoxville']",['20th century.'],"[""Older people's writings, American -- Tennessee -- Knoxville."", 'Older people -- Literary collections.', 'Older people -- Tennessee -- Knoxville -- Biography.', 'American literature -- 20th century.']",,,Out of our lives,,/type/edition,,,,,,,
0,[{'key': '/authors/OL548417A'}],Leigh Gaitskill.,,,,,[1696747],/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],1st ed.,,,,,,,,,['933517'],,,['0965262421'],,,/books/OL1019059M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,5,['PS3557.A3599 E27 1996'],['96076742'],,,,,,215.0,,,['35566513'],,215 p. :,,,cau,1996,"['Corte Madera, CA']",['LadyLake Press'],5,,,,,,,,Echoing ancestors,,/type/edition,,,,,,,[{'key': '/works/OL3369126W'}]
0,[{'key': '/authors/OL37802A'}],by Guy Gilpatric ; [illustrated by Anton Otto Fischer and George Hughes].,,,,,"[4841318, 3864303]",/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.52'],1st ed.,,,,,,,,,['4585254'],['1520246'],,['1889901008'],,,/books/OL1020378M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,7,['PS3513.I6433 G57 1997'],['96078956'],,,,/type/text,"""2""--Spine.",206.0,,,['36739398'],,"xiii, 206 p. :",,,cau,1997,"['Palo Alto, CA']",['Glencannon Press'],7,,,,,"['Sea stories, American.', 'Humorous stories, American.', 'Glencannon, Mr. (Fictitious character) -- Fiction.']",,"[{'value': 'Mary, Queen of Scots', 'type': '/type/text'}, {'value': ""Cock o' the north"", 'type': '/type/text'}, {'value': 'Barking dog', 'type': '/type/text'}, {'value': 'The iron mare', 'type': '/type/text'}, {'value': 'One good tern', 'type': '/type/text'}, {'value': 'Broilers of the sea', 'type': '/type/text'}, {'value': 'The toad men of Tumbaroo', 'type': '/type/text'}, {'value': 'The way of a man with a mermaid', 'type': '/type/text'}, {'value': 'Monkey business at Gibraltar', 'type': '/type/text'}, {'value': 'Crocodile tears', 'type': '/type/text'}, {'value': 'Mr. Glencannon and the ailing cockroach.', 'type': '/type/text'}, {'value': '', 'type': '/type/text'}]",The Glencannon menagerie,,/type/edition,,,,,,,[{'key': '/works/OL535534W'}]
0,[{'key': '/authors/OL550612A'}],by Claudia Jensen Dudley.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.54'],,,,,,,,,,['3789588'],,,['0965070107'],,,/books/OL1023854M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,4,['PS3554.U312 F73 1996'],['96092064'],,,,,,95.0,,,['36542998'],,95 p. ;,,,cau,1996,['San Francisco'],['Rasa Publications'],4,,,,,,poems,,The fragrant fire,,/type/edition,,,,,,,[{'key': '/works/OL3376789W'}]
0,[{'key': '/authors/OL551181A'}],by Jennifer Littman.,,,,,"[4816123, 3865412]",/type/datetime,2008-04-01T03:28:50.625462,,,,['[E]'],,,,,,,,,,['1387006'],['2273979'],,['0965643107'],,,/books/OL1024671M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:23:37.803788,5,['PZ7.L7367 Mat 1996'],['96095405'],,,,,,21.0,,,['38886470'],['Balls that bobbed in the broth that Bubbe made'],"21, [8] p. :",,,mdu,1996,"['Baltimore, Md']",['Brickford Lane Publishers'],5,,,,,"['Sabbath -- Fiction.', 'Judaism -- Customs and practices -- Fiction.', 'Jews -- Fiction.']","or, The balls that bobbed in the broth that Bubbe brewed",,Matzo ball soup,,/type/edition,,,,,,,[{'key': '/works/OL3378212W'}]
0,[{'key': '/authors/OL69510A'}],,,"['Goethe, Johann Wolfgang von, 1749-1832.']",,,[2196378],/type/datetime,2008-04-01T03:28:50.625462,,,,['832/.6'],,,,,,,,,,['527435'],['3081226'],,['3150300193'],,,/books/OL103608M,[{'key': '/languages/ger'}],/type/datetime,2010-07-28T00:49:19.494868,6,['PT1937.A1 G35 1999'],['99219543'],,,,/type/text,"Includes bibliographical references (v. 3, p. [875]-910) and indexes.",,,,,['Faust-Dichtungen'],3 v. :,,,gw ,1999,['Stuttgart'],['P. Reclam'],6,,,,,"['Goethe, Johann Wolfgang von, 1749-1832.']",,"[{'type': {'key': '/type/toc_item'}, 'title': 'Bd. 1. Texte / herausgegeben von Ulrich Gaier'}, {'type': {'key': '/type/toc_item'}, 'title': 'Bd. 2. Kommentar I / von Ulrich Gaier'}, {'type': {'key': '/type/toc_item'}, 'title': 'Bd. 3. Kommentar II / von Ulrich Gaier.'}, {'type': {'key': '/type/toc_item'}}]","Johann Wolfgang Goethe, Faust-Dichtungen.",,/type/edition,,,,,,,[{'key': '/works/OL821647W'}]
0,[{'key': '/authors/OL227697A'}],Lynley Dodd.,,,,,[105037],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,A frisky little dog causes an uproar at a cat show.,['[E]'],,,,,,,,,,['1153716'],['691936'],,['0140545506'],,,/books/OL1043720M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:28:33.921241,5,['PZ7.D6627 Hai 1993'],['93242697'],,,,/type/text,"""Puffin books.""
""Picture puffins.""",31.0,,,['29389200'],"[""Hairy Maclary's show business.""]",[31] p. :,,,enk,1993,"['London, England']",['Penguin Books'],5,,,,,"['Dogs -- Fiction.', 'Cats -- Fiction.']",,,Hairy Maclary's showbusiness,,/type/edition,,,,,,,[{'key': '/works/OL1901903W'}]
0,[{'key': '/authors/OL93845A'}],José Paulo Paes.,,,,,,,,,,,['869.3'],,,,,,,,,,['2284180'],,,['8531401089'],,,/books/OL1052090M,[{'key': '/languages/por'}],/type/datetime,2010-04-16T03:26:09.531285,3,['PQ9697.A775 C376 1992'],['93831772'],,,,/type/text,Includes bibliographical references (p. [107]-111).,111.0,,,,,111 p. ;,,,bl ,1992,"['São Paulo, SP, Brasil']",['Edusp'],3,"['Criação & crítica ;', '11']",,['Brazil.'],,"['Aranha, Graça, 1868-1931.', 'Modernism (Literature) -- Brazil.']",,,Canaã e o ideário modernista,,/type/edition,,,,,,,[{'key': '/works/OL1006902W'}]
0,[{'key': '/authors/OL28760A'}],Chelsea Quinn Yarbro.,,,,,[183625],/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,,,['219279'],['140726'],,['0312890192'],,,/books/OL1076948M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:31:03.894251,6,['PS3575.A7 C36 1994'],['94000120'],,,,/type/text,"Originally published: New York, 1989.
""Tom Doherty Associates book.""
""An ORB book.""",485.0,,,,,"ix, 485 p. :",,,nyu,1994,['New York'],['Orb'],6,,['marc:marc_records_scriblio_net/part24.dat:39916581:1214'],['France'],,"['Clemens, Atta Olivia (Fictitious character) -- Fiction', 'Women -- France -- Fiction', 'Vampires -- Fiction']",an historical horror novel third in the Atta Olivia Clements series,,candle for d'Artagnan,A ,/type/edition,"['Contributor biographical information', 'Publisher description']","['http://www.loc.gov/catdir/bios/hol055/94000120.html', 'http://www.loc.gov/catdir/description/hol054/94000120.html']","['http://www.loc.gov/catdir/bios/hol055/94000120.html', 'http://www.loc.gov/catdir/description/hol054/94000120.html']",,,,[{'key': '/works/OL67581W'}]
0,[{'key': '/authors/OL218118A'}],by Janet Riehecky ; illustrated by Lydia Halverson.,,"['Halverson, Lydia, ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"When UFO sightings are reported at Sunrise Campground, detectives Kyle and Karen and their friend Patrick are determined to investigate.",['[Fic]'],,,,,,,,,,['672692'],,,['1566740886'],,,/books/OL1077712M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:50:22.234720,4,['PZ7.R4277 Mys 1996'],['94000929'],,,,,,128.0,,,['30035133'],,128 p. :,,,ilu,1996,"['Lake Forest, Ill']",['Lake Forest Pub. Co.'],4,['The Red Door Detective Club'],,,,"['Mystery and detective stories.', 'Unidentified flying objects -- Fiction.', 'Camping -- Fiction.']",,,The mystery of the UFO,,/type/edition,,,,,,,[{'key': '/works/OL1819220W'}]
0,[{'key': '/authors/OL26041A'}],by Barbara Ann Porte.,,,,,"[3872942, 3872814]",/type/datetime,2008-04-01T03:28:50.625462,Twelve-year-old Gillian is sent away from her mother who is dying of AIDS to live with her relatives in Tennessee.,,,['[Fic]'],,,,,,['IA135304'],,,,"['2042824', '2903371']",['2340386'],,"['0531068692', '0531087190']",,,/books/OL1083269M,[{'key': '/languages/eng'}],/type/datetime,2011-08-12T16:18:50.727200,10,['PZ7.P7995 So 1994'],['94006923'],,,"""A Richard Jackson book""--T.p. verso.",,,214.0,somethingterribl00port,,,,214 p. ;,,,nyu,1994,['New York'],['Orchard Books'],10,,"['marc:marc_records_scriblio_net/part24.dat:45504327:910', 'ia:somethingterribl00port', 'ia:somethingterribl00port']",,,"['Mothers and daughters -- Fiction', 'Death -- Fiction', 'AIDS (Disease) -- Fiction', 'West Indian Americans -- Fiction']",a novel,"[{'type': {'key': '/type/toc_item'}, 'pagenum': '1', 'class': 'chapter', 'label': '1', 'title': 'Gillian'}, {'type': {'key': '/type/toc_item'}, 'pagenum': '9', 'class': 'chapter', 'label': '2', 'title': 'Island Women'}, {'type': {'key': '/type/toc_item'}, 'pagenum': '16', 'label': '3', 'title': 'A Love Story'}]",Something terrible happened,,/type/edition,,,,,,,[{'key': '/works/OL14910573W'}]
0,[{'key': '/authors/OL230506A'}],John Bunyan ; a retelling by Gary D. Schmidt ; illutrated by Barry Moser.,,"['Moser, Barry, ill.', 'Bunyan, John, 1628-1688.']",,,[573192],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"The pilgrim Christian undertakes the dangerous journey to the Celestial City, experiencing physical and spiritual obstacles along the way.",['[Fic]'],,,,,['Fiction.'],['IA108904'],['pilgrimsprogress00schm'],,,['302048'],['4814008'],,['0802850804'],,,/books/OL1084952M,[{'key': '/languages/eng'}],/type/datetime,2011-12-24T13:31:37.188738,7,['PZ7.S3527 Pi 1994'],['94008798'],,,,,,76.0,pilgrimsprogress00schm,,,,76 p. :,,,miu,1994,"['Grand Rapids, Mich']",['W.B. Eerdmans'],7,,['ia:pilgrimsprogress00schm'],,,['Christian life -- Fiction.'],,,Pilgrim's progress,,/type/edition,,,,,,,[{'key': '/works/OL1922917W'}]
0,,"[editor], Valerie Quinlivan.",,"['Quinlivan, Valerie.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['823/.01089415'],,,,,,,,,,['4990384'],['6206921'],,['0521439957'],,,/books/OL1089278M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:44:05.094765,4,['PR8876 .W75 1995'],['94013359'],,,,,,192.0,,,,,"xiv, 192 p. :",,,enk,1995,"['Cambridge', 'New York, NY, USA']",['Cambridge University Press'],4,['Figures in a landscape'],,"['Ireland', 'Foreign countries']",,"['Short stories, English -- Irish authors.', 'Irish -- Foreign countries -- Fiction.', 'Short stories.', 'Ireland -- Social life and customs -- Fiction.', 'Ireland -- Fiction.']",,,Writing from Ireland,,/type/edition,"['Publisher description', 'Table of contents']","['http://www.loc.gov/catdir/description/cam026/94013359.html', 'http://www.loc.gov/catdir/toc/cam026/94013359.html']","['http://www.loc.gov/catdir/description/cam026/94013359.html', 'http://www.loc.gov/catdir/toc/cam026/94013359.html']",,,,
0,[{'key': '/authors/OL381443A'}],Margery A. Johnson.,,,,,[3876648],/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.54'],,,,,,,,,,['2560258'],,,['1564741079'],,,/books/OL1092076M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:50:22.234720,5,['PS3560.O3799 S4 1994'],['94016388'],,,,,,85.0,,,['30360608'],,"85 p., [7] leaves of plates :",,,cau,1994,"['Santa Barbara, Calif']",['Fithian Press'],5,,,,,['Sea -- Poetry.'],,,Sea moods,,/type/edition,,,,,,,[{'key': '/works/OL2618477W'}]
0,[{'key': '/authors/OL580358A'}],Craig Raine.,,,,,"[4610842, 3876864]",/type/datetime,2008-04-01T03:28:50.625462,,,,['821/.914'],1st ed.,,,,,,,,,['1377442'],['351419'],,['0385476566'],,,/books/OL1092205M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:49:23.242323,6,['PR6068.A313 H57 1994'],['94016525'],,,,,,326.0,,,,,326 p. ;,,,nyu,1994,['New York'],['Doubleday'],6,,"['marc:marc_records_scriblio_net/part24.dat:53409737:839', 'marc:marc_loc_updates/v37.i27.records.utf8:24386270:843']","['England', 'Russia']",['20th century'],"['Raine, Craig -- Family -- Poetry', 'Pasternak family -- Poetry', 'History, Modern -- 20th century -- Poetry', 'Family -- England -- Poetry', 'Family -- Russia -- Poetry']",the home movie,,History,,/type/edition,,,,,,,[{'key': '/works/OL3479862W'}]
0,[{'key': '/authors/OL450646A'}],story created by Liz Farrington ; written by Jennifer C. Weil ; illustrated by Hui-Han Liu.,,"['Weil, Jennifer C.', 'Liu, Hui-Han, ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"When William decides to run away after being sent to his room, he meets Mrs. Murgatroyd and uses her magic paints to create a computer game that helps him learn to feel better about himself.",['[Fic]'],1st ed.,,,,,,,,,['3992791'],,,['1568440073'],,,/books/OL1093079M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:50:22.234720,4,['PZ7.F24618 Wi 1994'],['94017450'],,,,,,,,,['30702440'],,1 v. (unpaged) :,,,cau,1994,"['Palo Alto, CA']",['Enchanté Pub.'],4,,,,,"['Self-confidence -- Fiction.', 'Computer games -- Fiction.', 'Christmas -- Fiction.']",,,William's gift,,/type/edition,,,,,,,[{'key': '/works/OL2952643W'}]
0,[{'key': '/authors/OL581049A'}],by Nora Martin ; illustrated by Jill Kastner.,,"['Kastner, Jill, ill.']",,,[3877594],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,A young girl uses an old legend about stone dancers to teach her mountain village a lesson in hospitality and sharing.,['[E]'],1st ed.,,,,,,,,,['3999730'],['5358916'],,['0689803125'],,,/books/OL1094074M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:51:47.965227,5,['PZ7.M36416 St 1995'],['94018505'],,,,,,,,,,,1 v. (unpaged) :,,,nyu,1995,['New York'],['Atheneum Books for Young Readers'],5,,,,,"['Conduct of life -- Fiction.', 'Mountain life -- Fiction.']",,,stone dancers,The ,/type/edition,,,,,,,[{'key': '/works/OL3482754W'}]
