,authors,by_statement,contributions,contributors,copyright_date,covers,create,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,translated_from,translation_of,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL1046955A'}],Angeles Masó Maristany.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['863/.64'],1a ed.,,,,,,,['3898055'],,['6565677'],['8432055859'],,,/books/OL2314353M,[{'key': '/languages/spa'}],/type/datetime,2010-07-31T09:26:39.402479,4,['PQ6663.A79 M8 1986'],['86194510'],,,,/type/text,"""Recuerdos, obsesiones, fantasías y pesadillas de una mujer que lucha por dar un nuevo sentido a su vida""--Jacket.",201.0,,,,,201 p. ;,,,sp ,1986,"['Barcelona, España']",['Planeta'],4,['Colección Autores españoles e hispanoamericanos'],,,,,,,muerte de Papá Noel,La ,,,/type/edition,,,,,,,[{'key': '/works/OL4897176W'}]
0,[{'key': '/authors/OL2643906A'}],by Derek Wilson.,,,,,,/type/datetime,2009-04-27T06:41:37.732837,,,,['823/.914'],,,,,['Fiction'],,,['1053242'],,['3176710'],['1586900528'],,,/books/OL23144088M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:13:18.312272,7,['PR6073.I463 C86 2006'],['2006050847'],,,,,,,,,['73503455'],,p. cm.,,,cau,2006,"['Studio City, CA']","['Empire Pub. Service, in association with Paul Mould Pub.']",7,,['marc:marc_loc_updates/v36.i06.records.utf8:6984206:723'],,,"['Security consultants -- Fiction', 'Castles -- Fiction', 'Scotland -- Fiction']",,,Cumberland's cradle,,,,/type/edition,,,,,,,[{'key': '/works/OL7916222W'}]
0,[{'key': '/authors/OL28188A'}],Madeleine L'Engle.,,,,"[6297311, 6297311]",,/type/datetime,2009-04-27T22:07:40.688255,,/type/text,Philippa is miserable at an all girls' boarding school in Switzerland until she forms a supportive friendship with the mysterious Paul.,['[Fic]'],"1st Farrar, Straus and Giroux ed.",,,,['Fiction'],,,['7163513'],,['35804'],['0374303649'],['9780374303648'],,/books/OL23147643M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:13:18.312272,9,['PZ7.L5385 Am 2010'],['2009000800'],,,,/type/text,"""This book was originally published in slightly different form in 1949 by Lothrop, Lee & Shepard Co.""--T.p. verso.",,,,['299280678'],,p. cm.,,,nyu,2010,['New York'],"['Farrar, Straus and Giroux']",9,,"['marc:marc_loc_updates/v37.i04.records.utf8:8850020:989', 'marc:marc_loc_updates/v38.i07.records.utf8:10042888:1215', 'marc:marc_loc_updates/v38.i37.records.utf8:6959327:1215']",,,"['Boarding schools -- Fiction', 'Schools -- Fiction', 'Friendship -- Fiction']",,,And both were young,,,,/type/edition,,,,,,,[{'key': '/works/OL41487W'}]
0,[{'key': '/authors/OL24638A'}],Charles Dickens ; with features written by Douglas L. Glickman and Christy Lusiak.,"['Glickman, Douglas L.', 'Lusiak, Christy.']",,,,,/type/datetime,2009-05-06T12:57:11.602190,,,,['823/.8'],,,,,['Fiction'],,,['1438125'],,['7554'],['075663329X'],['9780756633295'],,/books/OL23157358M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:52:22.245999,7,['PR4560 .A1 2006'],['2008297287'],,,,/type/text,"""Full unabridged text""--Cover.

Includes bibliographical references (p. 511).",512.0,,,,,512 p. :,,,enk,2008,"['London', 'New York']",['DK Pub.'],7,['DK illustrated classics'],"['marc:marc_loc_updates/v36.i17.records.utf8:12699688:1119', 'marc:marc_loc_updates/v36.i29.records.utf8:12523186:1119']",,,"['Orphans -- Fiction', 'Poor children -- Fiction', 'Ex-convicts -- Fiction', 'Benefactors -- Fiction', 'Young men -- Fiction', 'Revenge -- Fiction', 'England -- Fiction']",,,Great expectations,,,,/type/edition,,,,,,,[{'key': '/works/OL8721462W'}]
0,[{'key': '/authors/OL23801A'}],Richard North Patterson.,,,,,,/type/datetime,2009-05-11T23:09:40.905647,,,,['813/.54'],,,,,['Fiction'],,,['6990670'],,['5874887'],,['9781602853539'],,/books/OL23160455M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:54:00.422666,5,['PS3566.A8242 E25 2009b'],['2008036390'],,,,,,,,,,,p. cm.,,,meu,2009,"['Thorndike, Me']",['Center Point Pub.'],5,,"['marc:marc_loc_updates/v36.i33.records.utf8:10574891:674', 'marc:marc_loc_updates/v37.i14.records.utf8:7413441:677']",,,"['Petroleum industry and trade -- Africa -- Fiction', 'Large type books']",,,Eclipse,,,,/type/edition,,,,,,,[{'key': '/works/OL81965W'}]
0,[{'key': '/authors/OL982120A'}],by Robert Louis Stevenson ; adapted by Catherine Nichols ; illustrated by Sally Wern Comport.,"['Comport, Sally Wern, ill.', 'Stevenson, Robert Louis, 1850-1894.']",,,,,/type/datetime,2009-05-12T21:24:11.898800,,/type/text,"A brief, simplified retelling of the episode in ""Treasure Island"" during which Jim Hawkins tries to keep a treasure map safe from Long John Silver and his pirate band.",['[E]'],,,,,"['Juvenile fiction', 'Fiction']",,,['634090'],,['4964318'],['1402741200'],['9781402741203'],,/books/OL23161210M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:54:00.422666,7,['PZ7.N5288 Trp 2007'],['2006017571'],,,,,,32.0,,['70174797'],,['Pirate attack'],32 p. :,,,nyu,2007,['New York'],['Sterling Pub. Co.'],7,['Easy reader classics'],"['marc:marc_loc_updates/v36.i41.records.utf8:3178642:1546', 'marc:marc_loc_updates/v37.i39.records.utf8:11565185:1520']",,,"['Pirates -- Juvenile fiction', 'Maps -- Juvenile fiction', 'Buried treasure -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Pirates -- Fiction', 'Maps -- Fiction', 'Buried treasure -- Fiction', 'Adventure and adventurers -- Fiction']",,,Treasure Island.,,,,/type/edition,,,['http://www.loc.gov/catdir/enhancements/fy0668/2006017571-d.html'],,,,[{'key': '/works/OL4724733W'}]
0,[{'key': '/authors/OL6586551A'}],Susan May Warren.,,,,,,/type/datetime,2009-05-14T04:23:19.239834,,,,['813/.6'],,,,,,,,['6433995'],,['8785480'],,['9781414326788'],,/books/OL23164855M,[{'key': '/languages/eng'}],/type/datetime,2014-07-30T11:15:11.979882,9,['PS3623.A865 G74 2009'],['2009005470'],,,,,,,greatchristmasbo00warr,,['310096939'],,p. cm.,,,ilu,2009,"['Carol Stream, Ill']",['Tyndale House Publishers'],9,,"['marc:marc_loc_updates/v37.i08.records.utf8:10523159:594', 'marc:marc_loc_updates/v37.i43.records.utf8:40268434:1035', 'marc:marc_loc_updates/v37.i52.records.utf8:22960243:1035', 'ia:greatchristmasbo00warr']",,,,,,The great Christmas bowl,,,,/type/edition,,,,,,,[{'key': '/works/OL13744795W'}]
0,[{'key': '/authors/OL2676835A'}],pictures by Dennis Jones.,,,,,,/type/datetime,2009-05-14T07:40:38.895120,"Retells, in illustrations and simple text, the biblical story of Genesis, from the creation of light through the explusion from Eden.",,,['[E]'],,,,,['Fiction'],,,['7267273'],,['9637152'],,['9780310718833'],,/books/OL23169764M,[{'key': '/languages/eng'}],/type/datetime,2012-05-28T18:24:06.568215,7,['PZ7.J6835 Ad 2010'],['2009004132'],,,,,,,,,['312095615'],,p. cm.,,,miu,2010,"['Grand Rapids, Mich']",['Zonderkidz'],7,,"['marc:marc_loc_updates/v37.i09.records.utf8:8774661:851', 'marc:marc_loc_updates/v38.i16.records.utf8:7426157:919']",,,"['Adam -- (Biblical figure) -- Fiction', 'Eve -- (Biblical figure) -- Fiction', 'Creation -- Fiction', 'God -- Fiction']",,,"Adam and Eve, God's first people",,,,/type/edition,,,,,,,[{'key': '/works/OL8048604W'}]
0,[{'key': '/authors/OL18319A'}],by Mark Twain.,,,,,,/type/datetime,2009-05-14T13:58:09.288612,,,,['813/.4'],,,,,['Fiction'],,,['6857025'],,['2236'],,['9781934941638'],,/books/OL23174946M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:13:18.312272,9,['PS1306 .A1 2009'],['2009008201'],,,,,,,,,['312728832'],,p. cm.,,,flu,2009,"['St. Petersburg, Fla']",['Red and Black Publishers'],9,,"['marc:marc_loc_updates/v37.i10.records.utf8:13517656:890', 'marc:marc_loc_updates/v37.i28.records.utf8:26582024:880', 'marc:marc_loc_updates/v37.i37.records.utf8:23687172:880']",,,"['Sawyer, Tom (Fictitious character) -- Fiction', 'Runaway children -- Fiction', 'Boys -- Fiction', 'Mississippi River Valley -- Fiction', 'Missouri -- Fiction']",,,The adventures of Tom Sawyer,,,,/type/edition,,,,,,,[{'key': '/works/OL53919W'}]
0,[{'key': '/authors/OL6611678A'}],Warren Perkins.,,,,,,/type/datetime,2009-05-15T01:03:44.965475,,,,['813/.6'],,,,,['Fiction'],,,['6776954'],,,,['9780826347763'],,/books/OL23186763M,[{'key': '/languages/eng'}],/type/datetime,2011-10-23T14:32:18.359380,7,['PS3616.E7483 P87 2009'],['2009010891'],,,,,,,,,,,p. cm.,,,nmu,2009,['Albuquerque'],['University of New Mexico Press'],7,,"['marc:marc_loc_updates/v37.i12.records.utf8:13035296:703', 'marc:marc_loc_updates/v37.i39.records.utf8:17873719:795', 'marc:marc_loc_updates/v37.i45.records.utf8:8112187:795', 'marc:marc_loc_updates/v38.i23.records.utf8:7232975:775', 'marc:marc_loc_updates/v39.i41.records.utf8:5797315:996']",,,"['Guitarists -- Fiction', 'Rock musicians -- Fiction', 'Navajo Indians -- Fiction', 'Self-actualization (Psychology) -- Fiction']",,,Putrefaction Live,,,,/type/edition,,,,,,,[{'key': '/works/OL13770140W'}]
0,[{'key': '/authors/OL6184453A'}],Kevin Powell.,,,,,,/type/datetime,2009-05-15T06:50:49.139945,,,,['811/.54'],,,,,,,,['1912051'],,['5127336'],['0979663695'],['9780979663697'],,/books/OL23195756M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T12:07:35.464107,7,['PS3566.O83253 N6 2008'],['2007046765'],,,,,,83.0,,['181910134'],,,83 p. ;,,,nyu,2008,"['Brooklyn', '[Berkeley, Calif.]']","['Soft Skull Press', 'Distributed by Publishers Group West']",7,,"['marc:marc_loc_updates/v37.i14.records.utf8:5244105:887', 'marc:marc_loc_updates/v37.i16.records.utf8:3745259:887', 'marc:marc_loc_updates/v37.i35.records.utf8:32595471:981']",,,,new and selected poems,,No sleep till Brooklyn,,,,/type/edition,,,,,,,[{'key': '/works/OL13283340W'}]
0,[{'key': '/authors/OL3353023A'}],Shelley Shepard Gray.,,,,"[6305924, 6305924]",,/type/datetime,2009-05-15T08:11:11.140817,,,,['813/.6'],1st Avon paperback ed.,,,,['Fiction'],,,['6270138'],,['8080775'],,['9780061474477'],,/books/OL23197646M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:13:18.312272,8,['PS3607.R3966 F67 2009'],['2009012859'],,,,,,,,,['310399043'],,p. cm.,,,nyu,2009,['New York'],['Avon Inspire'],8,['Sisters of the heart -- bk. 3'],"['marc:marc_loc_updates/v37.i14.records.utf8:11406396:677', 'marc:marc_loc_updates/v37.i45.records.utf8:8190933:848', 'marc:marc_loc_updates/v38.i03.records.utf8:7298911:848']",,,['Amish -- Fiction'],,,Forgiven,,,,/type/edition,,,,,,,[{'key': '/works/OL9302739W'}]
0,[{'key': '/authors/OL20523A'}],M.C. Beaton.,,,,[7895128],,/type/datetime,2009-05-16T01:31:15.314240,,,,['823/.914'],1st ed.,,,,['Fiction'],['IA177801'],['theregoesbrideag00beat'],['6348952'],,['8114761'],['0312387008'],['9780312387006'],,/books/OL23213319M,[{'key': '/languages/eng'}],/type/datetime,2017-01-20T12:14:31.229074,15,['PR6053.H4535 T46 2009'],['2009016578'],,,,,,277.0,theregoesbrideag00beat,,['316019409'],,277 p. ;,,,nyu,2009,['New York'],['Minotaur Books'],15,,"['marc:marc_loc_updates/v37.i17.records.utf8:12580440:813', 'marc:marc_loc_updates/v37.i48.records.utf8:10875931:1240', 'marc:marc_loc_updates/v37.i50.records.utf8:10189080:1461', 'marc:marc_loc_updates/v38.i02.records.utf8:11608535:1461', 'marc:marc_loc_updates/v38.i09.records.utf8:10733656:1461', 'ia:theregoesbrideag00beat']",,,"['Raisin, Agatha (Fictitious character) -- Fiction', 'Women private investigators -- Fiction', 'Brides -- Crimes against -- Fiction', 'Cotswold Hills (England) -- Fiction']",an Agatha Raisin mystery,,There goes the bride,,,,/type/edition,,,,,,,[{'key': '/works/OL112905W'}]
0,[{'key': '/authors/OL6621428A'}],K.R. Moorhead.,,,,"[6305788, 6305788]",,/type/datetime,2009-05-16T10:36:56.966428,,,,['823/.92'],1st ed.,,,,['Fiction'],['IA170801'],['firstlawofmotion00moor'],['6697988'],,['9191598'],,['9780312547295'],,/books/OL23218174M,[{'key': '/languages/eng'}],/type/datetime,2012-02-25T11:39:31.870994,10,['PR6113.O65 F57 2009'],['2009017047'],,,,,,,firstlawofmotion00moor,,['317929053'],,p. cm.,,,nyu,2009,['New York'],"[""St. Martin's Griffin""]",10,,"['marc:marc_loc_updates/v37.i18.records.utf8:9707278:604', 'marc:marc_loc_updates/v38.i01.records.utf8:4626880:1269', 'marc:marc_loc_updates/v38.i08.records.utf8:27642002:1269', 'ia:firstlawofmotion00moor']",,,"['Self-realization in women -- Fiction', 'Psychological fiction']",,,The first law of motion,,,,/type/edition,,,,,,,[{'key': '/works/OL13780276W'}]
0,[{'key': '/authors/OL543720A'}],Henry Shukman.,,,,[7095049],,/type/datetime,2009-05-16T10:57:11.997451,,,,['823/.914'],1st Vintage Contemporaries ed.,,,,['Fiction'],['IA173601'],['lostcitynovel00shuk'],['4889272'],,['2438660'],,['9780307386427'],,/books/OL23218839M,[{'key': '/languages/eng'}],/type/datetime,2012-04-06T11:21:43.332226,7,['PR6069.H74 L67 2009'],['2009290784'],,,,,,321.0,lostcitynovel00shuk,,['236339386'],,321 p. ;,,,nyu,2009,['New York'],['Vintage Contemporaries'],7,,"['marc:marc_loc_updates/v37.i18.records.utf8:10471170:829', 'ia:lostcitynovel00shuk']",,,"['Invalids -- Fiction', 'Veterans -- Fiction', 'British -- Peru -- Fiction', 'Jungles -- Peru -- Fiction', 'Extinct cities -- Peru -- Fiction', 'Peru -- Fiction']",a novel,,The lost city,,,,/type/edition,,,,,,,[{'key': '/works/OL3349629W'}]
0,[{'key': '/authors/OL2874429A'}],Cindy Woodsmall.,,,,"[6755574, 6305583, 6305583]",,/type/datetime,2009-05-16T17:55:41.547689,,,,['813/.6'],1st ed.,,,,['Fiction'],['IA130618'],,"['6275220', '6988906']",,['8963045'],,"['9780307446534', '9780307458353']",,/books/OL23223833M,[{'key': '/languages/eng'}],/type/datetime,2011-08-12T16:21:25.436658,11,['PS3623.O678 S68 2009'],['2009018239'],,,,,,,soundofsleighbel00wood,,,,p. cm.,,,cou,2009,"['Colorado Springs, Colo']",['WaterBrook Press'],11,,"['marc:marc_loc_updates/v37.i19.records.utf8:9841141:648', 'marc:marc_loc_updates/v37.i50.records.utf8:10271068:642', 'marc:marc_loc_updates/v38.i09.records.utf8:10840295:642', 'ia:soundofsleighbel00wood']",,,['Amish women -- Fiction'],,,The sound of sleigh bells,,,,/type/edition,,,,,,,[{'key': '/works/OL15110113W'}]
0,[{'key': '/authors/OL35406A'}],By Greg Holden.,,,,,,/type/datetime,2009-05-28T15:36:04.246660,,,,['810.9/977'],1st ed.,,,,['Guidebooks'],,,['3699478'],,['7904240'],['1578603145'],['9781578603145'],,/books/OL23235647M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:13:18.312272,7,['PS144.M53 H65 2009'],['2009020554'],,,,,,,,,['182737858'],,p. cm.,,,ohu,2009,"['Cincinnati, Ohio']",['Clerisy Press'],7,,"['marc:marc_loc_updates/v37.i21.records.utf8:9461479:837', 'marc:marc_loc_updates/v38.i08.records.utf8:28856363:837']",,,"['Literary landmarks -- Middle West -- Guidebooks', 'Middle West -- Intellectual life -- Guidebooks']",a literary tour,"[{'title': 'Introduction', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Illinois', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Indiana', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Iowa', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Michigan', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Minnesota', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Missouri', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Ohio', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Wisconsin.', 'level': 0, 'type': {'key': '/type/toc_item'}}]",The booklover's guide to the Midwest,,,,/type/edition,,,,,,,[{'key': '/works/OL15054734W'}]
